original_relative_path,selected,score,reasons
JB-VPS-main/.gitignore,True,10,"content:mnemosyne, content:env/config"
JB-VPS-main/CLINE,True,10,"content:mnemosyne, content:env/config"
JB-VPS-main/areas/ai/MNEMOSYNE_README.md,True,15,"content:mnemosyne, content:core-terms, content:libraries, content:env/config"
JB-VPS-main/areas/ai/README.md,True,15,"content:mnemosyne, content:core-terms, content:libraries, content:env/config"
JB-VPS-main/areas/ai/menu.sh,True,13,"content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/bin/menu.sh,True,13,"content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/docs/USAGE_GUIDE.md,True,13,"content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/installers/install-mnemo.sh,True,15,"content:mnemosyne, content:core-terms, content:libraries, content:env/config"
JB-VPS-main/legacy/Projects for Implementation/exfil_analyze.sh,True,5,"content:core-terms, content:libraries"
JB-VPS-main/legacy/Projects for Implementation/session_logger.py,True,5,"content:core-terms, content:libraries"
JB-VPS-main/legacy/scripts/exfil_analyze.sh,True,5,"content:core-terms, content:libraries"
JB-VPS-main/legacy/scripts/session_logger.py,True,5,"content:core-terms, content:libraries"
JB-VPS-main/menu/help_menu.sh,True,10,"content:mnemosyne, content:env/config"
JB-VPS-main/menu/main_menu.sh,True,13,"content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/mnemosyneos/memory.sh,True,20,"path:mnemosyne, path:memory, content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/modules/backup.sh,True,13,"content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/modules/firewall.sh,True,13,"content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/modules/monitoring.sh,True,13,"content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/modules/security_hardening.sh,True,13,"content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/modules/system_update.sh,True,13,"content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/plugins/ai/plugin.sh,True,13,"content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/plugins/filer.sh,True,5,"content:core-terms, content:libraries"
JB-VPS-main/plugins/mnemosyne/plugin.sh,True,19,"path:mnemosyne, content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/scripts/syntax-check.sh,True,10,"content:mnemosyne, content:env/config"
JB-VPS-main/services/mnemo/app/config.py,True,15,"content:mnemosyne, content:core-terms, content:libraries, content:env/config"
JB-VPS-main/services/mnemo/app/ingest/fs.py,True,13,"content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/services/mnemo/app/ingest/rss.py,True,13,"content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/services/mnemo/app/llm/anthropic.py,True,15,"content:mnemosyne, content:core-terms, content:libraries, content:env/config"
JB-VPS-main/services/mnemo/app/llm/deepseek.py,True,15,"content:mnemosyne, content:core-terms, content:libraries, content:env/config"
JB-VPS-main/services/mnemo/app/llm/openai.py,True,15,"content:mnemosyne, content:core-terms, content:libraries, content:env/config"
JB-VPS-main/services/mnemo/app/llm/provider.py,True,15,"content:mnemosyne, content:core-terms, content:libraries, content:env/config"
JB-VPS-main/services/mnemo/app/logging_setup.py,True,10,"content:mnemosyne, content:env/config"
JB-VPS-main/services/mnemo/app/main.py,True,13,"content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/services/mnemo/app/memory/affective.py,True,14,"path:memory, content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/services/mnemo/app/memory/episodic.py,True,14,"path:memory, content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/services/mnemo/app/memory/identity.py,True,14,"path:memory, content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/services/mnemo/app/memory/meta.py,True,14,"path:memory, content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/services/mnemo/app/memory/procedural.py,True,14,"path:memory, content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/services/mnemo/app/memory/reflective.py,True,14,"path:memory, content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/services/mnemo/app/memory/semantic.py,True,14,"path:memory, content:mnemosyne, content:core-terms, content:env/config"
JB-VPS-main/services/mnemo/app/store/chroma.py,True,15,"content:mnemosyne, content:core-terms, content:libraries, content:env/config"
JB-VPS-main/services/mnemo/requirements.txt,True,6,"content:core-terms, content:libraries, support:requirements.txt"
JB-VPS-main/services/mnemo/run.sh,True,10,"content:mnemosyne, content:env/config"
JB-VPS-main/setup.sh,True,13,"content:mnemosyne, content:core-terms, content:env/config"
